鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註,編號
平鎮區,房地(土地+建物),桃園市平鎮區大昌路57巷31~60號,23.35,工,,,1070604,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,0821202,89.78,1,1,1,有,有,1900000,21163,,0.0,0,,RPPOMLLJQHNFFGH78CA
平鎮區,房地(土地+建物)+車位,桃園市平鎮區湧安路1~30號,45.05,其他,,,1040622,土地1建物1車位1,七層，八層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070403,240.14,4,2,3,有,有,10390000,45465,坡道平面,23.93,560000,,RPRNMLPLPHNFFGH76CA
平鎮區,房地(土地+建物),桃園市平鎮區南平路103巷11弄1~30號,121.45,住,,,1070416,土地2建物1車位0,全,五層,透天厝,見其他登記事項,鋼筋混凝土造,0931222,237.3,5,3,4,有,無,10100000,42562,,0.0,0,,RPROMLKLPHNFFGH98CA
平鎮區,土地,廣東段451~480地號,7.0,住,,,1070619,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,317625,45375,,0.0,0,,RPQNMLMJPHNFFGH78CA
八德區,土地,白鷺段1141~1170地號,166.59,,特定農業區,農牧用地,1070524,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3000000,18008,,0.0,0,,RPQNMLKLPHNFFFH68CA
平鎮區,房地(土地+建物),桃園市平鎮區平東路659巷1~30號,343.48,,特定農業區,丁種建築用地,1070317,土地1建物1車位0,一層，二層，三層,三層,工廠,見其他登記事項,鋼筋混凝土造,0881111,643.86,5,2,3,有,無,42000000,,,0.0,0,,RPOPMLNJPHNFFGH88CA
平鎮區,房地(土地+建物),桃園市平鎮區延平路二段31~60號,9.51,住,,,1070515,土地1建物1車位0,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930625,77.11,2,1,1,有,有,3050000,39554,,0.0,0,,RPXPMLOJPHNFFGH27CA
平鎮區,房地(土地+建物),桃園市平鎮區延平路二段31~60號,5.55,住,,,1070607,土地1建物1車位0,五層,十四層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0930625,51.959999999999994,1,1,1,有,有,2650000,51001,,0.0,0,,RPPOMLMJPHNFFGH78CA
平鎮區,房地(土地+建物),桃園市平鎮區環南路三段181~210號,7.89,住,,,1070618,土地1建物1車位0,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930701,76.22,2,2,1,有,有,4200000,55104,,0.0,0,,RPQNMLNJPHNFFGH88CA
平鎮區,土地,東社段871~900地號,132.47,其他,,,1070504,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2500000,18872,,0.0,0,,RPSNMLNJPHNFFGH09CA
龜山區,房地(土地+建物),桃園市龜山區幸美十一街61~90號,44.1,,山坡地保育區,丙種建築用地,1070613,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0860204,97.94,3,2,2,有,無,3800000,38799,,0.0,0,,RPSOMLMJPHNFFHH56CA
龜山區,土地,文化段271~300地號,302.0,住,,,1070429,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,42000000,139073,,0.0,0,,RPXOMLMJPHNFFHH07CA
龜山區,房地(土地+建物),桃園市龜山區文化三路81巷1~30號,4.17,商,,,1070616,土地1建物1車位0,六層,十層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0970609,34.69,1,1,1,有,有,3500000,100894,,0.0,0,,RPPNMLOJPHNFFHH98CA
龜山區,房地(土地+建物)+車位,桃園市龜山區長峰路61~90號,18.3,住,,,1070523,土地1建物1車位1,十二層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030224,155.54,3,2,2,有,有,8200000,52720,坡道平面,28.83,0,,RPQNMLQJPHNFFHH66CA
龜山區,土地,興華段811~840地號,79.31,其他,,,1070530,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10837388,136646,,0.0,0,,RPSNMLQJPHNFFHH86CA
龜山區,房地(土地+建物),桃園市龜山區自強北路38巷1~30號,13.8,住,,,1070328,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700319,67.24,2,1,1,有,無,2500000,37180,,0.0,0,,RPPNMLKLPHNFFHH78CA
龜山區,房地(土地+建物),桃園市龜山區文化二路34巷14弄1~30號,10.01,住,,,1070601,土地1建物1車位0,九層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0871231,69.63,3,2,2,有,有,5400000,77553,,0.0,0,,RPRNMLKLPHNFFHH98CA
龜山區,房地(土地+建物)+車位,桃園市龜山區文青路331~360號,46.02,住,,,1070621,土地1建物1車位1,一層，二層,二十四層,店面(店鋪),見其他登記事項,鋼筋混凝土造,1041127,353.01,0,0,0,無,有,35180000,106434,坡道平面,33.75,1200000,,RPTNMLNJPHNFFHH66CA
桃園區,房地(土地+建物),桃園市桃園區民有東路1~30號,17.04,住,,,1070601,土地1建物1車位0,九層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930803,92.03999999999999,2,2,1,有,有,5150000,55954,,0.0,0,,RPVOMLKKPHNFFAH78DA
桃園區,房地(土地+建物)+車位,桃園市桃園區國強一街168巷31~60號,88.39,住,,,1070512,土地1建物1車位1,全,五層,透天厝,見其他登記事項,鋼筋混凝土造,0930524,250.52,4,3,3,有,有,15000000,59875,其他,0.0,0,含增建或未登記建物。,RPXOMLTJPHNFFAH17DA
桃園區,房地(土地+建物)+車位,桃園市桃園區三民路一段121~150號,37.75,住,,,1070521,土地1建物1車位1,七層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0961025,224.85,4,2,2,有,有,13500000,68038,坡道平面,44.07,1200000,,RPOPMLTJPHNFFAH98DA
